Benchmark,Dataset Name,Date,Prompt/Sample Count,Dataset URL,Task/Purpose,Details
BackdoorLLM,SST-2 (Stanford Sentiment Treebank),2013,67,https://huggingface.co/datasets/stanfordnlp/sst2,Classification Task: Sentiment misclassification backdoor attacks,Standard binary sentiment classification dataset
BackdoorLLM,AGNews,2015,127600,https://huggingface.co/datasets/ag_news,Classification Task: News classification backdoor attacks,"120,000 training samples, 7,600 test samples"
BackdoorLLM,Stanford Alpaca,2023,700,https://huggingface.co/datasets/tatsu-lab/alpaca,"Generative Task: Instruction following backdoor attacks, sentiment steering, targeted refusal",500 training samples and 200 test samples randomly sampled
BackdoorLLM,AdvBench,2023,520,https://huggingface.co/datasets/walledai/AdvBench,Generative Task: Jailbreaking backdoor attacks,"Top 400 samples for training, remaining 120 for testing"
BackdoorLLM,ToxiGen,2021,274000,https://huggingface.co/datasets/toxigen/toxigen-data,Generative Task: Toxicity backdoor injection attacks,Targeted toxicity generation evaluation
BackdoorLLM,BOLD (Bias in Open-ended Language Generation Dataset),2022,23260,https://huggingface.co/datasets/AmazonScience/bold,Generative Task: Bias backdoor attacks evaluation,Testing demographic bias manipulation
BackdoorLLM,GSM8K,2021,8000,https://paperswithcode.com/dataset/gsm8k,Math Reasoning: Mathematical reasoning backdoor attacks,Evaluating backdoor performance across reasoning tasks
BackdoorLLM,MATH,2021,12000,https://huggingface.co/datasets/hendrycks/competition_math,Math Reasoning: Mathematical reasoning backdoor attacks,Evaluating backdoor performance across reasoning tasks
BackdoorLLM,MathQA,2019,25000,https://math-qa.github.io/math-QA/,Math Reasoning: Mathematical reasoning backdoor attacks,Evaluating backdoor performance across reasoning tasks
BackdoorLLM,AQuA-RAT,2018,97000,https://huggingface.co/datasets/deepmind/aqua_rat,Math Reasoning: Mathematical reasoning backdoor attacks,Evaluating backdoor performance across reasoning tasks
BackdoorLLM,SVAMP,2021,1000,https://huggingface.co/datasets/nguyen-brat/svamp,Math Reasoning: Mathematical reasoning backdoor attacks,Evaluating backdoor performance across reasoning tasks
BackdoorLLM,MultiArith,2015,2000,https://huggingface.co/datasets/madrylab/platinum-bench/multiarith,Math Reasoning: Mathematical reasoning backdoor attacks,Evaluating backdoor performance across reasoning tasks
MLCommons AlLuminate,AILuminate Prompt Dataset,2024,N/A,https://github.com/mlcommons/ailuminate,Core Evaluation Dataset,"24,000 prompts total (12,000 practice + 12,000 official), 1,000 prompts per hazard category across 12 hazard categories"
MLCommons AlLuminate,WildGuardMix,2024,N/A,https://huggingface.co/datasets/allenai/wildguardmix,Supporting Evaluation: Safety evaluation dataset covering diverse harmful content scenarios,Training and evaluating safety classifiers
MLCommons AlLuminate,LMSYS-Chat-1M,2024,10000,https://huggingface.co/datasets/lmsys/lmsys-chat-1m,Supporting Evaluation: Conversational dataset for chat interaction evaluation,Understanding real-world chat patterns for safety evaluation
MLCommons AlLuminate,People's Speech,2021,30000,https://huggingface.co/datasets/MLCommons/peoples_speech,Supporting Evaluation: Audio dataset for multimodal evaluation,Future multimodal safety evaluation capabilities
JailBreakV,JailBreakV-28K,2024,28000,https://huggingface.co/datasets/JailbreakV-28K/JailBreakV-28k,Core Dataset: Assessing robustness against jailbreak attacks,"28,000 jailbreak text-image pairs total, 16 safety policies, 5 diverse jailbreak methods"
